Session,Block,ChA,CurrentsA,HitsA,ThresholdA,Closest CurrentA to 50%,ChB,CurrentsB,HitsB,ThresholdB,Closest CurrentB to 50%,ChC,CurrentsC,HitsC,ThresholdC,Closest CurrentC to 50%,Include,Avg Thresholds,Avg Closest Currents,Delta
C:\data\ICMS98\20-Oct-2023,1,4,"[5, 6, 7]","[3, 5, 10]",5.84,6,5,"[5, 6, 7]","[1, 8, 10]",5.6,6,6,"[3, 4, 5]","[3, 2, 10]",4.24,3,1,"[6, 6, 5]","[6, 6, 5]","[0, 0, 0]"
C:\data\ICMS98\20-Oct-2023,2,4,"[5, 6, 7]","[2, 6, 10]",5.67,6,5,"[5, 6, 7]","[1, 7, 9]",5.81,6,6,"[3, 4, 5]","[1, 1, 6]",4.89,5,1,,,
C:\data\ICMS98\20-Oct-2023,3,4,"[5, 6, 7]","[2, 3, 8]",6.43,6,5,"[5, 6, 7]","[2, 1, 9]",6.48,5,6,"[4, 5, 6]","[1, 2, 7]",5.67,6,1,,,
C:\data\ICMS98\20-Oct-2023,4,4,"[5, 6, 7]","[0, 4, 10]",6.09,6,5,"[5, 6, 7]","[2, 2, 7]",6.57,7,6,"[4, 5, 6]","[1, 4, 7]",5.39,5,1,,,
C:\data\ICMS98\24-Oct-2023,1,4,"[4, 5, 6]","[8, 10, 10]",1.74,4,5,"[4, 5, 6]","[8, 7, 9]",2.51,5,6,"[3, 4, 5]","[7, 10, 9]",1.66,3,1,"[3, 4, 3]","[4, 5, 4]","[-1, -1, -1]"
C:\data\ICMS98\24-Oct-2023,2,4,"[3, 4, 5]","[3, 9, 9]",3.27,3,5,"[3, 4, 5]","[1, 3, 10]",4.06,4,6,"[2, 3, 4]","[1, 2, 9]",3.28,3,1,,,
C:\data\ICMS98\24-Oct-2023,3,4,"[3, 4, 5]","[0, 9, 9]",3.6,4,5,"[3, 4, 5]","[0, 0, 7]",4.82,5,6,"[2, 3, 4]","[1, 1, 9]",3.5,3,1,,,
C:\data\ICMS98\24-Oct-2023,4,4,"[3, 4, 5]","[0, 6, 6]",4.38,4,5,"[5, 6, 7]","[5, 7, 10]",5.14,5,6,"[3, 4, 5]","[0, 1, 8]",4.61,5,1,,,
C:\data\ICMS98\26-Oct-2023,1,4,"[4, 5, 6]","[1, 0, 2]",6.63,6,5,"[5, 6, 7]","[1, 3, 10]",6.15,6,6,"[3, 4, 5]","[1, 5, 9]",4.08,4,1,"[6, 6, 5]","[6, 6, 5]","[0, 0, 0]"
C:\data\ICMS98\26-Oct-2023,2,4,"[6, 7, 8]","[7, 10, 10]",5.63,6,5,"[5, 6, 7]","[2, 6, 8]",5.9,6,6,"[3, 4, 5]","[0, 3, 9]",4.31,4,1,,,
C:\data\ICMS98\26-Oct-2023,3,4,"[5, 6, 7]","[2, 8, 10]",5.51,6,5,"[5, 6, 7]","[0, 4, 8]",6.33,6,6,"[3, 4, 5]","[1, 1, 7]",4.74,5,1,,,
C:\data\ICMS98\26-Oct-2023,4,4,"[5, 6, 7]","[0, 4, 9]",6.21,6,5,"[5, 6, 7]","[0, 3, 9]",6.31,6,6,"[4, 5, 6]","[1, 2, 5]",6.06,6,1,,,
C:\data\ICMS98\31-Oct-2023,1,4,"[2, 3, 4]","[10, 10, 10]",1.01,3,5,"[2, 3, 4]","[0, 2, 10]",3.29,3,6,"[2, 3, 4]","[2, 9, 10]",2.39,2,1,"[2, 4, 4]","[2, 4, 4]","[0, 0, 0]"
C:\data\ICMS98\31-Oct-2023,2,4,"[1, 2, 3]","[1, 3, 9]",2.19,2,5,"[2, 3, 4]","[2, 0, 8]",3.71,3,6,"[2, 3, 4]","[0, 5, 7]",3.35,3,1,,,
C:\data\ICMS98\31-Oct-2023,3,4,"[2, 3, 4]","[2, 9, 10]",2.39,2,5,"[3, 4, 5]","[0, 2, 9]",4.4,4,6,"[3, 4, 5]","[0, 8, 10]",3.72,4,1,,,
C:\data\ICMS98\31-Oct-2023,4,4,"[2, 3, 4]","[1, 4, 10]",2.97,3,5,"[3, 4, 5]","[0, 3, 5]",4.86,5,6,"[3, 4, 5]","[0, 2, 6]",4.76,5,1,,,
C:\data\ICMS98\02-Nov-2023,1,4,"[1, 2, 3]","[0, 4, 10]",2.09,2,5,"[3, 4, 5]","[0, 2, 4]",5.15,5,6,"[2, 3, 4]","[1, 0, 6]",3.94,4,1,"[3, 6, 5]","[3, 6, 5]","[0, 0, 0]"
C:\data\ICMS98\02-Nov-2023,2,4,"[1, 2, 3]","[0, 1, 7]",2.72,3,5,"[4, 5, 6]","[1, 3, 8]",5.32,5,6,"[3, 4, 5]","[0, 3, 5]",4.86,5,1,,,
C:\data\ICMS98\02-Nov-2023,3,4,"[2, 3, 4]","[0, 6, 7]",3.25,3,5,"[4, 5, 6]","[1, 2, 4]",6.29,6,6,"[4, 5, 6]","[4, 3, 6]",5.36,5,1,,,
C:\data\ICMS98\02-Nov-2023,4,4,"[2, 3, 4]","[0, 3, 6]",3.68,4,5,"[5, 6, 7]","[1, 3, 3]",7.64,6,6,"[5, 6, 7]","[3, 4, 4]",7.02,6,1,,,
C:\data\ICMS98\07-Nov-2023,1,4,"[2, 3, 4]","[2, 4, 10]",2.98,3,5,"[2, 3, 4]","[0, 0, 4]",4.18,4,6,"[2, 3, 4]","[0, 1, 7]",3.73,4,1,"[3, 5, 5]","[3, 4, 5]","[0, 1, 0]"
C:\data\ICMS98\07-Nov-2023,2,4,"[2, 3, 4]","[1, 4, 9]",3.09,3,5,"[4, 5, 6]","[2, 6, 7]",5.01,5,6,"[3, 4, 5]","[2, 3, 4]",5.13,5,1,,,
C:\data\ICMS98\07-Nov-2023,3,4,"[2, 3, 4]","[1, 6, 10]",2.79,3,5,"[4, 5, 6]","[5, 7, 8]",4.18,4,6,"[4, 5, 6]","[3, 6, 8]",4.72,5,1,,,
C:\data\ICMS98\07-Nov-2023,4,4,"[2, 3, 4]","[0, 8, 6]",2.77,3,5,"[4, 5, 6]","[3, 4, 4]",5.94,5,6,"[4, 5, 6]","[2, 5, 4]",5.86,5,1,,,
C:\data\ICMS98\14-Nov-2023,1,4,"[2, 3, 4]","[5, 9, 10]",2.03,2,5,"[4, 5, 6]","[7, 9, 10]",3.5,4,6,"[4, 5, 6]","[8, 10, 9]",3.45,4,1,"[2, 3, 3]","[2, 4, 4]","[0, -1, -1]"
C:\data\ICMS98\14-Nov-2023,2,4,"[2, 3, 4]","[8, 10, 10]",1.51,2,5,"[4, 5, 6]","[10, 10, 10]",2.01,5,6,"[4, 5, 6]","[9, 10, 9]",3.02,4,1,,,
C:\data\ICMS98\14-Nov-2023,3,4,"[1, 2, 3]","[0, 3, 10]",2.19,2,5,"[3, 4, 5]","[5, 10, 10]",2.94,3,6,"[3, 4, 5]","[7, 9, 9]",2.54,3,1,,,
C:\data\ICMS98\14-Nov-2023,4,4,"[1, 2, 3]","[1, 0, 8]",2.71,3,5,"[3, 4, 5]","[0, 3, 5]",4.86,5,6,"[3, 4, 5]","[1, 5, 9]",4.0,4,1,,,
C:\data\ICMS98\17-Nov-2023,1,4,"[3, 4, 5]","[3, 9, 9]",3.27,3,5,"[7, 8, 9]","[4, 5, 10]",7.54,8,6,"[6, 7, 8]","[2, 5, 9]",6.92,7,1,"[4, 9, 7]","[4, 8, 7]","[0, 1, 0]"
C:\data\ICMS98\17-Nov-2023,2,4,"[2, 3, 4]","[1, 1, 8]",3.62,4,5,"[6, 7, 8]","[0, 4, 5]",7.8,8,6,"[6, 7, 8]","[1, 5, 6]",7.44,7,1,,,
C:\data\ICMS98\17-Nov-2023,3,4,"[2, 3, 4]","[1, 0, 5]",4.06,4,5,"[7, 8, 9]","[1, 3, 6]",8.67,9,6,"[7, 8, 9]","[5, 7, 8]",6.98,7,1,,,
C:\data\ICMS98\17-Nov-2023,4,4,"[3, 4, 5]","[0, 6, 5]",4.55,4,5,"[7, 8, 9]","[1, 3, 1]",10.54,8,6,"[7, 8, 9]","[2, 6, 6]",8.18,8,1,,,
C:\data\ICMS98\20-Nov-2023,1,4,"[4, 5, 6]","[1, 1, 5]",6.01,6,5,"[6, 7, 8]","[1, 1, 3]",8.39,8,6,"[5, 6, 7]","[4, 5, 8]",5.66,6,1,"[8, 10, 8]","[8, 10, 8]","[0, 0, 0]"
C:\data\ICMS98\20-Nov-2023,2,4,"[5, 6, 7]","[1, 2, 4]",7.25,7,5,"[7, 8, 9]","[1, 0, 3]",9.38,9,6,"[5, 6, 7]","[0, 2, 3]",7.48,7,0,,,
C:\data\ICMS98\20-Nov-2023,3,4,"[6, 7, 8]","[3, 3, 4]",8.36,8,5,"[9, 10, 11]","[4, 5, 2]",11.58,10,6,"[7, 8, 9]","[2, 5, 6]",8.36,8,1,,,
C:\data\ICMS98\20-Nov-2023,4,4,"[7, 8, 9]","[1, 3, 5]",8.94,9,5,"[9, 10, 11]","[1, 4, 5]",10.81,11,6,"[7, 8, 9]","[2, 2, 3]",10.08,9,1,,,
C:\data\ICMS98\22-Nov-2023,1,4,"[7, 8, 9]","[4, 6, 8]",7.5,8,5,"[9, 10, 11]","[3, 6, 6]",10.02,10,6,"[7, 8, 9]","[5, 8, 5]",6.23,7,1,"[8, 10, 9]","[8, 10, 8]","[0, 0, 1]"
C:\data\ICMS98\22-Nov-2023,2,4,"[7, 8, 9]","[2, 2, 5]",9.04,9,5,"[9, 10, 11]","[5, 3, 7]",10.0,9,6,"[7, 8, 9]","[3, 3, 1]",10.12,8,1,,,
C:\data\ICMS98\22-Nov-2023,3,4,"[7, 8, 9]","[2, 7, 6]",8.02,8,5,"[9, 10, 11]","[5, 3, 6]",10.32,9,6,"[7, 8, 9]","[3, 3, 4]",9.43,9,1,,,
C:\data\ICMS98\22-Nov-2023,4,4,"[7, 8, 9]","[3, 6, 8]",7.76,8,5,"[9, 10, 11]","[4, 5, 6]",10.01,10,6,"[7, 8, 9]","[1, 7, 2]",9.4,8,1,,,
