Session,Block,ChA,CurrentsA,HitsA,ThresholdA,Closest CurrentA to 50%,ChB,CurrentsB,HitsB,ThresholdB,Closest CurrentB to 50%,ChC,CurrentsC,HitsC,ThresholdC,Closest CurrentC to 50%,Include,Avg Thresholds,Avg Closest Currents,Delta
C:\data\ICMS100\09-Nov-2023,4,3,"[7, 8, 9]","[1, 5, 3]",9.47,8,5,"[4, 5, 6]","[5, 3, 3]",6.09,4,6,"[7, 8, 9]","[1, 2, 1]",10.67,8,1,,,
C:\data\ICMS100\16-Nov-2023,1,3,"[6, 7, 8]","[3, 8, 7]",6.5,6,5,"[3, 4, 5]","[5, 6, 10]",3.25,3,6,"[8, 9, 10]","[2, 6, 7]",9.01,9,1,"[5, 3, 8]","[5, 3, 8]","[0, 0, 0]"
C:\data\ICMS100\16-Nov-2023,2,3,"[4, 5, 6]","[5, 8, 9]",3.98,4,5,"[2, 3, 4]","[0, 5, 8]",3.23,3,6,"[5, 6, 7]","[1, 0, 4]",7.19,7,1,,,
C:\data\ICMS100\16-Nov-2023,3,3,"[4, 5, 6]","[1, 4, 6]",5.57,5,5,"[2, 3, 4]","[3, 3, 8]",3.04,3,6,"[6, 7, 8]","[3, 3, 4]",8.36,8,1,,,
C:\data\ICMS100\16-Nov-2023,4,3,"[5, 6, 7]","[6, 5, 6]",5.6,6,5,"[2, 3, 4]","[3, 2, 5]",3.89,4,6,"[7, 8, 9]","[1, 3, 4]",9.31,9,1,,,
C:\data\ICMS100\21-Nov-2023,1,3,"[3, 4, 5]","[3, 4, 9]",3.9,4,5,"[1, 2, 3]","[2, 1, 7]",2.74,3,6,"[6, 7, 8]","[0, 0, 4]",8.2,8,1,"[5, 4, 11]","[5, 4, 10]","[0, 0, 1]"
C:\data\ICMS100\21-Nov-2023,2,3,"[3, 4, 5]","[2, 1, 5]",5.19,5,5,"[2, 3, 4]","[0, 5, 6]",3.48,3,6,"[7, 8, 9]","[0, 0, 0]",10.44,8,1,,,
C:\data\ICMS100\21-Nov-2023,3,3,"[4, 5, 6]","[4, 2, 4]",6.19,5,5,"[3, 4, 5]","[2, 3, 7]",4.41,4,6,"[9, 10, 11]","[0, 0, 1]",11.77,11,1,,,
C:\data\ICMS100\21-Nov-2023,4,3,"[5, 6, 7]","[3, 4, 7]",6.17,6,5,"[3, 4, 5]","[3, 3, 7]",4.32,4,6,"[11, 12, 13]","[2, 2, 6]",12.83,13,1,,,
C:\data\ICMS100\28-Nov-2023,1,3,"[3, 4, 5]","[2, 3, 4]",5.17,5,5,"[1, 2, 3]","[0, 0, 1]",3.61,3,6,"[6, 7, 8]","[0, 1, 3]",8.45,8,0,,,
C:\data\ICMS100\28-Nov-2023,2,3,"[4, 5, 6]","[3, 2, 2]",6.82,4,5,"[3, 4, 5]","[2, 6, 5]",4.37,4,6,"[8, 9, 10]","[1, 1, 3]",11.02,10,0,,,
C:\data\ICMS100\28-Nov-2023,3,3,"[5, 6, 7]","[1, 0, 3]",7.35,7,5,"[3, 4, 5]","[1, 1, 3]",5.66,5,6,"[9, 10, 11]","[1, 0, 1]",11.83,10,0,,,
C:\data\ICMS100\28-Nov-2023,4,3,"[6, 7, 8]","[2, 1, 1]",9.73,6,5,"[4, 5, 6]","[1, 4, 0]",7.12,5,6,"[11, 12, 13]","[1, 1, 0]",14.55,12,0,,,
C:\data\ICMS100\05-Dec-2023,1,3,"[5, 6, 7]","[4, 6, 4]",6.32,6,5,"[3, 4, 5]","[3, 8, 8]",3.49,3,6,"[8, 9, 10]","[6, 5, 9]",7.96,9,1,"[6, 3, 8]","[6, 3, 9]","[0, 0, -1]"
C:\data\ICMS100\05-Dec-2023,2,3,"[5, 6, 7]","[1, 3, 3]",7.64,6,5,"[3, 4, 5]","[2, 5, 7]",4.15,4,6,"[8, 9, 10]","[0, 0, 2]",10.52,10,0,,,
C:\data\ICMS100\05-Dec-2023,3,3,"[6, 7, 8]","[0, 2, 2]",8.85,7,5,"[3, 4, 5]","[0, 1, 3]",5.41,5,6,"[10, 11, 12]","[3, 1, 0]",13.49,10,0,,,
C:\data\ICMS100\05-Dec-2023,4,3,"[7, 8, 9]","[0, 1, 2]",9.91,9,5,"[4, 5, 6]","[3, 1, 5]",6.23,6,6,"[12, 13, 14]","[1, 2, 0]",16.85,13,0,,,
