Session,Block,ChA,CurrentsA,HitsA,ThresholdA,Closest CurrentA to 50%,ChB,CurrentsB,HitsB,ThresholdB,Closest CurrentB to 50%,ChC,CurrentsC,HitsC,ThresholdC,Closest CurrentC to 50%,Include,Avg Thresholds,Avg Closest Currents,Delta
C:\data\ICMS100\26-Oct-2023,1,3,"[6, 7, 8]","[3, 2, 2]",9.15,6,5,"[5, 6, 7]","[3, 4, 4]",7.08,6,6,"[5, 6, 7]","[0, 2, 6]",6.78,7,1,"[9, 7, 7]","[8, 7, 7]","[1, 0, 0]"
C:\data\ICMS100\26-Oct-2023,2,3,"[6, 7, 8]","[1, 2, 1]",8.98,7,5,"[5, 6, 7]","[2, 3, 1]",7.98,6,6,"[5, 6, 7]","[0, 3, 2]",7.77,6,0,,,
C:\data\ICMS100\26-Oct-2023,3,3,"[7, 8, 9]","[1, 2, 4]",9.33,9,5,"[6, 7, 8]","[4, 6, 4]",7.14,7,6,"[6, 7, 8]","[5, 3, 5]",7.55,7,1,,,
C:\data\ICMS100\26-Oct-2023,4,3,"[7, 8, 9]","[1, 0, 4]",9.2,9,5,"[6, 7, 8]","[3, 4, 5]",7.75,8,6,"[6, 7, 8]","[2, 8, 5]",7.02,7,1,,,
C:\data\ICMS100\02-Nov-2023,1,3,"[7, 8, 9]","[5, 8, 8]",6.8,7,5,"[6, 7, 8]","[6, 9, 6]",5.61,6,6,"[6, 7, 8]","[0, 2, 3]",8.47,8,1,"[6, 4, 7]","[7, 7, 7]","[-1, -3, 0]"
C:\data\ICMS100\02-Nov-2023,2,3,"[7, 8, 9]","[4, 8, 9]",7.21,7,5,"[6, 7, 8]","[8, 8, 8]",4.95,7,6,"[6, 7, 8]","[5, 2, 3]",8.52,6,1,,,
C:\data\ICMS100\02-Nov-2023,3,3,"[7, 8, 9]","[8, 10, 8]",6.39,7,5,"[6, 7, 8]","[10, 9, 10]",2.92,7,6,"[6, 7, 8]","[10, 10, 10]",2.89,7,1,,,
C:\data\ICMS100\02-Nov-2023,4,3,"[7, 8, 9]","[10, 10, 10]",3.68,8,5,"[6, 7, 8]","[10, 10, 10]",2.89,7,6,"[6, 7, 8]","[4, 6, 6]",6.79,7,1,,,
C:\data\ICMS100\03-Nov-2023,1,3,"[5, 6, 7]","[7, 8, 10]",2.39,5,5,"[6, 7, 8]","[10, 10, 10]",0.65,7,6,"[4, 5, 6]","[5, 8, 8]",2.83,4,1,"[6, 2, 5]","[6, 5, 5]","[0, -3, 0]"
C:\data\ICMS100\03-Nov-2023,2,3,"[5, 6, 7]","[1, 4, 8]",6.25,6,5,"[4, 5, 6]","[5, 10, 10]",3.93,4,6,"[4, 5, 6]","[0, 5, 9]",5.12,5,1,,,
C:\data\ICMS100\03-Nov-2023,3,3,"[5, 6, 7]","[1, 1, 3]",7.37,7,5,"[4, 5, 6]","[7, 9, 10]",2.16,4,6,"[4, 5, 6]","[2, 2, 7]",5.66,6,1,,,
C:\data\ICMS100\03-Nov-2023,4,3,"[7, 8, 9]","[6, 8, 10]",6.82,7,5,"[4, 5, 6]","[9, 10, 10]",1.9,4,6,"[5, 6, 7]","[0, 4, 3]",7.36,6,1,,,
C:\data\ICMS100\09-Nov-2023,1,3,"[3, 4, 5]","[7, 7, 6]",2.41,4,5,"[2, 3, 4]","[0, 5, 10]",2.98,3,6,"[3, 4, 5]","[4, 6, 10]",3.51,4,1,"[6, 4, 6]","[6, 4, 5]","[0, 0, 1]"
C:\data\ICMS100\09-Nov-2023,2,3,"[4, 5, 6]","[1, 2, 5]",6.06,6,5,"[3, 4, 5]","[2, 8, 6]",3.89,4,6,"[4, 5, 6]","[4, 8, 7]",4.34,4,1,,,
C:\data\ICMS100\09-Nov-2023,3,3,"[5, 6, 7]","[0, 1, 7]",6.74,7,5,"[3, 4, 5]","[2, 6, 8]",3.91,4,6,"[4, 5, 6]","[1, 6, 9]",4.94,5,1,,,
