Session,Block,ChA,CurrentsA,HitsA,ThresholdA,Closest CurrentA to 50%,ChB,CurrentsB,HitsB,ThresholdB,Closest CurrentB to 50%,ChC,CurrentsC,HitsC,ThresholdC,Closest CurrentC to 50%,Include,Avg Thresholds,Avg Closest Currents,Delta
C:\data\ICMS101\16-Nov-2023,1,10,"[2, 3, 4]","[3, 7, 5]",2.25,3,11,"[3, 4, 5]","[4, 4, 6]",4.33,4,12,"[3, 4, 5]","[5, 2, 4]",5.2,3,1,"[4, 5, 6]","[4, 5, 5]","[0, 0, 1]"
C:\data\ICMS101\16-Nov-2023,2,10,"[2, 3, 4]","[0, 1, 4]",4.16,4,11,"[3, 4, 5]","[2, 2, 3]",5.52,5,12,"[3, 4, 5]","[0, 1, 2]",5.61,5,0,,,
C:\data\ICMS101\16-Nov-2023,3,10,"[3, 4, 5]","[0, 2, 9]",4.41,4,11,"[4, 5, 6]","[1, 4, 9]",5.15,5,12,"[4, 5, 6]","[1, 1, 7]",5.74,6,1,,,
C:\data\ICMS101\16-Nov-2023,4,10,"[3, 4, 5]","[0, 0, 10]",4.5,4,11,"[4, 5, 6]","[1, 0, 7]",5.83,6,12,"[4, 5, 6]","[0, 3, 3]",6.41,5,1,,,
C:\data\ICMS101\21-Nov-2023,1,10,"[3, 4, 5]","[1, 6, 9]",3.93,4,11,"[4, 5, 6]","[4, 7, 9]",4.33,4,12,"[4, 5, 6]","[6, 7, 9]",3.36,4,1,"[4, 5, 5]","[4, 5, 6]","[0, 0, -1]"
C:\data\ICMS101\21-Nov-2023,2,10,"[3, 4, 5]","[2, 3, 10]",4.12,4,11,"[4, 5, 6]","[3, 2, 8]",5.3,4,12,"[4, 5, 6]","[2, 0, 7]",5.82,6,1,,,
C:\data\ICMS101\21-Nov-2023,3,10,"[3, 4, 5]","[0, 2, 10]",4.28,4,11,"[4, 5, 6]","[0, 3, 9]",5.31,5,12,"[4, 5, 6]","[1, 0, 6]",5.94,6,1,,,
C:\data\ICMS101\21-Nov-2023,4,10,"[3, 4, 5]","[1, 0, 9]",4.6,4,11,"[4, 5, 6]","[0, 1, 8]",5.61,6,12,"[4, 5, 6]","[0, 1, 4]",6.18,6,1,,,
C:\data\ICMS101\22-Nov-2023,1,10,"[3, 4, 5]","[3, 9, 8]",2.99,3,11,"[4, 5, 6]","[3, 9, 9]",4.27,4,12,"[3, 4, 5]","[0, 1, 6]",4.85,5,1,"[4, 5, 6]","[4, 6, 5]","[0, -1, 1]"
C:\data\ICMS101\22-Nov-2023,2,10,"[3, 4, 5]","[0, 0, 7]",4.82,5,11,"[4, 5, 6]","[0, 1, 8]",5.62,6,12,"[3, 4, 5]","[2, 0, 2]",5.59,4,1,,,
C:\data\ICMS101\22-Nov-2023,3,10,"[4, 5, 6]","[1, 6, 9]",4.9,5,11,"[5, 6, 7]","[1, 7, 7]",6.02,6,12,"[4, 5, 6]","[0, 1, 5]",5.99,6,1,,,
C:\data\ICMS101\22-Nov-2023,4,10,"[4, 5, 6]","[1, 6, 9]",4.9,5,11,"[5, 6, 7]","[1, 8, 6]",6.02,6,12,"[5, 6, 7]","[1, 4, 9]",6.09,6,1,,,
C:\data\ICMS101\29-Nov-2023,1,10,"[2, 3, 4]","[0, 2, 7]",3.62,4,11,"[3, 4, 5]","[0, 1, 3]",5.41,5,12,"[3, 4, 5]","[0, 1, 2]",5.66,5,0,"[5, 7, 8]","[5, 7, 7]","[0, 0, 1]"
C:\data\ICMS101\29-Nov-2023,2,10,"[3, 4, 5]","[0, 1, 5]",4.99,5,11,"[4, 5, 6]","[0, 2, 4]",6.16,6,12,"[4, 5, 6]","[0, 0, 3]",6.33,6,1,,,
C:\data\ICMS101\29-Nov-2023,3,10,"[4, 5, 6]","[0, 3, 6]",5.68,6,11,"[5, 6, 7]","[0, 2, 5]",6.94,7,12,"[6, 7, 8]","[4, 2, 4]",8.39,7,1,,,
C:\data\ICMS101\29-Nov-2023,4,10,"[5, 6, 7]","[4, 9, 5]",5.4,5,11,"[6, 7, 8]","[2, 5, 8]",7.01,7,12,"[7, 8, 9]","[2, 4, 6]",8.51,8,1,,,
C:\data\ICMS101\01-Dec-2023,1,10,"[4, 5, 6]","[4, 8, 6]",4.49,4,11,"[5, 6, 7]","[3, 7, 7]",5.67,6,12,"[6, 7, 8]","[6, 8, 10]",5.82,6,1,"[6, 7, 8]","[5, 7, 8]","[1, 0, 0]"
C:\data\ICMS101\01-Dec-2023,2,10,"[4, 5, 6]","[1, 4, 7]",5.39,5,11,"[5, 6, 7]","[1, 1, 5]",7.0,7,12,"[6, 7, 8]","[1, 5, 9]",7.03,7,1,,,
C:\data\ICMS101\01-Dec-2023,3,10,"[5, 6, 7]","[5, 4, 5]",6.15,6,11,"[6, 7, 8]","[0, 3, 8]",7.42,7,12,"[7, 8, 9]","[1, 5, 4]",9.03,8,1,,,
C:\data\ICMS101\01-Dec-2023,4,10,"[5, 6, 7]","[1, 6, 6]",6.3,6,11,"[6, 7, 8]","[0, 1, 1]",9.22,7,12,"[7, 8, 9]","[2, 2, 7]",8.55,9,1,,,
C:\data\ICMS101\05-Dec-2023,1,10,"[4, 5, 6]","[3, 7, 8]",4.59,5,11,"[5, 6, 7]","[0, 1, 4]",7.19,7,12,"[7, 8, 9]","[3, 6, 6]",8.01,8,1,"[5, 7, 8]","[5, 7, 8]","[0, 0, 0]"
C:\data\ICMS101\05-Dec-2023,2,10,"[4, 5, 6]","[0, 7, 8]",4.89,5,11,"[6, 7, 8]","[1, 4, 9]",7.09,7,12,"[7, 8, 9]","[4, 6, 8]",7.49,8,1,,,
C:\data\ICMS101\05-Dec-2023,3,10,"[4, 5, 6]","[0, 5, 10]",5.0,5,11,"[6, 7, 8]","[0, 3, 8]",7.41,7,12,"[7, 8, 9]","[1, 8, 8]",7.81,8,1,,,
C:\data\ICMS101\05-Dec-2023,4,10,"[4, 5, 6]","[2, 3, 5]",5.96,6,11,"[6, 7, 8]","[0, 3, 7]",7.53,7,12,"[7, 8, 9]","[2, 4, 9]",7.99,8,1,,,
