Session,Block,ChA,CurrentsA,HitsA,ThresholdA,Closest CurrentA to 50%,ChB,CurrentsB,HitsB,ThresholdB,Closest CurrentB to 50%,ChC,CurrentsC,HitsC,ThresholdC,Closest CurrentC to 50%,Include,Avg Thresholds,Avg Closest Currents,Delta
C:\data\ICMS92\Behavior\14-Sep-2023,1,9,"[2, 3, 4]","[4, 9, 10]",2.17,2,11,"[3, 4, 5]","[2, 10, 10]",3.28,3,12,"[2, 3, 4]","[0, 8, 10]",2.72,3,1,"[2, 3, 3]","[2, 4, 3]","[0, -1, 0]"
C:\data\ICMS92\Behavior\14-Sep-2023,2,9,"[2, 3, 4]","[4, 8, 9]",2.32,2,11,"[3, 4, 5]","[1, 9, 10]",3.5,4,12,"[2, 3, 4]","[0, 7, 10]",2.81,3,1,,,
C:\data\ICMS92\Behavior\14-Sep-2023,3,9,"[2, 3, 4]","[0, 8, 10]",2.72,3,11,"[3, 4, 5]","[0, 9, 9]",3.62,4,12,"[2, 3, 4]","[2, 7, 10]",2.59,3,1,,,
C:\data\ICMS92\Behavior\14-Sep-2023,4,9,"[2, 3, 4]","[0, 8, 9]",2.74,3,11,"[3, 4, 5]","[1, 9, 10]",3.5,4,12,"[2, 3, 4]","[0, 8, 10]",2.72,3,1,,,
C:\data\ICMS92\Behavior\19-Sep-2023,1,9,"[2, 3, 4]","[0, 4, 7]",3.44,3,11,"[3, 4, 5]","[6, 9, 9]",2.76,3,12,"[2, 3, 4]","[0, 1, 10]",3.39,3,1,"[3, 3, 3]","[3, 3, 3]","[0, 0, 0]"
C:\data\ICMS92\Behavior\19-Sep-2023,2,9,"[2, 3, 4]","[1, 3, 9]",3.19,3,11,"[3, 4, 5]","[3, 9, 10]",3.28,3,12,"[2, 3, 4]","[0, 0, 8]",3.72,4,1,,,
C:\data\ICMS92\Behavior\19-Sep-2023,3,9,"[2, 3, 4]","[0, 3, 9]",3.31,3,11,"[3, 4, 5]","[4, 10, 10]",3.05,3,12,"[2, 3, 4]","[0, 1, 10]",3.39,3,1,,,
C:\data\ICMS92\Behavior\19-Sep-2023,4,9,"[2, 3, 4]","[0, 5, 10]",3.0,3,11,"[3, 4, 5]","[4, 10, 10]",3.05,3,12,"[2, 3, 4]","[0, 4, 9]",3.21,3,1,,,
C:\data\ICMS92\Behavior\21-Sep-2023,1,9,"[3, 4, 5]","[3, 9, 9]",3.27,3,11,"[2, 3, 4]","[1, 10, 10]",2.38,2,12,"[2, 3, 4]","[2, 10, 10]",2.27,2,1,"[3, 2, 2]","[3, 2, 2]","[0, 0, 0]"
C:\data\ICMS92\Behavior\21-Sep-2023,2,9,"[3, 4, 5]","[5, 9, 10]",3.01,3,11,"[2, 3, 4]","[1, 10, 10]",2.38,2,12,"[2, 3, 4]","[1, 10, 10]",2.38,2,1,,,
C:\data\ICMS92\Behavior\21-Sep-2023,3,9,"[2, 3, 4]","[0, 6, 9]",3.03,3,11,"[2, 3, 4]","[3, 10, 10]",2.17,2,12,"[2, 3, 4]","[3, 10, 10]",2.17,2,1,,,
C:\data\ICMS92\Behavior\21-Sep-2023,4,9,"[2, 3, 4]","[1, 4, 9]",3.09,3,11,"[2, 3, 4]","[5, 10, 10]",1.94,2,12,"[2, 3, 4]","[5, 10, 9]",1.94,2,1,,,
C:\data\ICMS92\Behavior\25-Sep-2023,1,9,"[2, 3, 4]","[0, 2, 9]",3.4,3,11,"[1, 2, 3]","[0, 0, 10]",2.49,2,12,"[2, 3, 4]","[1, 10, 10]",2.38,2,1,"[3, 2, 2]","[3, 2, 2]","[0, 0, 0]"
C:\data\ICMS92\Behavior\25-Sep-2023,2,9,"[2, 3, 4]","[2, 4, 9]",3.17,3,11,"[2, 3, 4]","[0, 10, 10]",2.45,3,12,"[2, 3, 4]","[2, 8, 10]",2.52,3,1,,,
C:\data\ICMS92\Behavior\25-Sep-2023,3,9,"[2, 3, 4]","[1, 5, 9]",3.0,3,11,"[2, 3, 4]","[1, 10, 10]",2.38,2,12,"[2, 3, 4]","[4, 9, 10]",2.17,2,1,,,
C:\data\ICMS92\Behavior\25-Sep-2023,4,9,"[2, 3, 4]","[0, 4, 9]",3.21,3,11,"[2, 3, 4]","[1, 10, 10]",2.38,2,12,"[2, 3, 4]","[1, 9, 10]",2.5,3,1,,,
C:\data\ICMS92\Behavior\27-Sep-2023,1,9,"[2, 3, 4]","[0, 3, 8]",3.41,3,11,"[2, 3, 4]","[0, 7, 10]",2.81,3,12,"[2, 3, 4]","[1, 9, 10]",2.5,3,1,"[4, 3, 3]","[4, 3, 3]","[0, 0, 0]"
C:\data\ICMS92\Behavior\27-Sep-2023,2,9,"[2, 3, 4]","[0, 2, 9]",3.4,3,11,"[2, 3, 4]","[0, 8, 10]",2.72,3,12,"[2, 3, 4]","[0, 8, 10]",2.72,3,1,,,
C:\data\ICMS92\Behavior\27-Sep-2023,3,9,"[2, 3, 4]","[1, 0, 8]",3.72,4,11,"[2, 3, 4]","[0, 9, 10]",2.61,3,12,"[2, 3, 4]","[0, 6, 10]",2.9,3,1,,,
C:\data\ICMS92\Behavior\27-Sep-2023,4,9,"[2, 3, 4]","[1, 2, 6]",3.78,4,11,"[2, 3, 4]","[0, 9, 10]",2.6,3,12,"[2, 3, 4]","[0, 5, 10]",2.99,3,1,,,
