Session,Block,ChA,CurrentsA,HitsA,ThresholdA,Closest CurrentA to 50%,ChB,CurrentsB,HitsB,ThresholdB,Closest CurrentB to 50%,ChC,CurrentsC,HitsC,ThresholdC,Closest CurrentC to 50%,Include,Avg Thresholds,Avg Closest Currents,Delta
C:\data\ICMS92\Behavior\30-Aug-2023,1,9,"[4, 5, 6]","[8, 10, 10]",2.19,4,11,"[4, 5, 6]","[0, 8, 10]",4.7,5,12,"[5, 6, 7]","[0, 9, 10]",5.6,6,1,"[4, 5, 6]","[4, 5, 6]","[0, 0, 0]"
C:\data\ICMS92\Behavior\30-Aug-2023,2,9,"[3, 4, 5]","[1, 8, 10]",3.61,4,11,"[4, 5, 6]","[1, 4, 10]",5.03,5,12,"[5, 6, 7]","[3, 7, 10]",5.49,6,1,,,
C:\data\ICMS92\Behavior\30-Aug-2023,3,9,"[3, 4, 5]","[0, 5, 10]",4.0,4,11,"[4, 5, 6]","[0, 7, 10]",4.81,5,12,"[5, 6, 7]","[0, 6, 8]",6.14,6,1,,,
C:\data\ICMS92\Behavior\30-Aug-2023,4,9,"[3, 4, 5]","[0, 4, 8]",4.34,4,11,"[4, 5, 6]","[0, 6, 9]",5.04,5,12,"[5, 6, 7]","[0, 6, 8]",6.13,6,1,,,
C:\data\ICMS92\Behavior\01-Sep-2023,1,9,"[3, 4, 5]","[2, 10, 10]",3.28,3,11,"[4, 5, 6]","[1, 10, 10]",4.38,4,12,"[3, 4, 5]","[0, 1, 10]",4.39,4,1,"[3, 4, 4]","[4, 4, 5]","[-1, 0, -1]"
C:\data\ICMS92\Behavior\01-Sep-2023,2,9,"[3, 4, 5]","[0, 9, 10]",3.61,4,11,"[4, 5, 6]","[4, 10, 10]",4.05,4,12,"[4, 5, 6]","[0, 10, 10]",4.5,5,1,,,
C:\data\ICMS92\Behavior\01-Sep-2023,3,9,"[3, 4, 5]","[2, 10, 10]",3.28,3,11,"[4, 5, 6]","[5, 10, 10]",3.94,4,12,"[4, 5, 6]","[0, 10, 10]",4.5,5,1,,,
C:\data\ICMS92\Behavior\01-Sep-2023,4,9,"[3, 4, 5]","[0, 10, 10]",3.5,4,11,"[4, 5, 6]","[5, 8, 10]",4.06,4,12,"[4, 5, 6]","[1, 9, 10]",4.5,5,1,,,
C:\data\ICMS92\Behavior\06-Sep-2023,1,9,"[3, 4, 5]","[1, 10, 10]",3.38,3,11,"[4, 5, 6]","[10, 10, 10]",2.01,5,12,"[2, 3, 4]","[0, 1, 9]",3.5,3,1,"[3, 3, 4]","[4, 4, 4]","[-1, -1, 0]"
C:\data\ICMS92\Behavior\06-Sep-2023,2,9,"[3, 4, 5]","[1, 8, 10]",3.61,4,11,"[2, 3, 4]","[0, 2, 9]",3.4,3,12,"[2, 3, 4]","[0, 2, 7]",3.64,4,1,,,
C:\data\ICMS92\Behavior\06-Sep-2023,3,9,"[3, 4, 5]","[0, 9, 10]",3.61,4,11,"[2, 3, 4]","[0, 0, 10]",3.5,3,12,"[2, 3, 4]","[0, 1, 6]",3.83,4,1,,,
C:\data\ICMS92\Behavior\06-Sep-2023,4,9,"[3, 4, 5]","[1, 10, 10]",3.38,3,11,"[3, 4, 5]","[0, 10, 10]",3.5,4,12,"[3, 4, 5]","[0, 7, 10]",3.81,4,1,,,
C:\data\ICMS92\Behavior\08-Sep-2023,1,9,"[3, 4, 5]","[3, 8, 10]",3.39,3,11,"[3, 4, 5]","[5, 10, 9]",2.93,3,12,"[3, 4, 5]","[1, 10, 10]",3.38,3,1,"[4, 2, 3]","[3, 3, 4]","[1, -1, -1]"
C:\data\ICMS92\Behavior\08-Sep-2023,2,9,"[3, 4, 5]","[2, 9, 10]",3.39,3,11,"[3, 4, 5]","[6, 9, 9]",2.76,3,12,"[3, 4, 5]","[1, 9, 10]",3.5,4,1,,,
C:\data\ICMS92\Behavior\08-Sep-2023,3,9,"[3, 4, 5]","[1, 6, 8]",4.02,4,11,"[3, 4, 5]","[9, 10, 8]",1.97,3,12,"[3, 4, 5]","[1, 9, 10]",3.5,4,1,,,
C:\data\ICMS92\Behavior\08-Sep-2023,4,9,"[3, 4, 5]","[1, 10, 10]",3.38,3,11,"[3, 4, 5]","[6, 9, 10]",1.87,3,12,"[3, 4, 5]","[2, 9, 10]",3.39,3,1,,,
C:\data\ICMS92\Behavior\12-Sep-2023,1,9,"[2, 3, 4]","[0, 7, 10]",2.8,3,11,"[3, 4, 5]","[1, 10, 10]",3.38,3,12,"[2, 3, 4]","[1, 3, 9]",3.28,3,1,"[3, 3, 3]","[3, 3, 3]","[0, 0, 0]"
C:\data\ICMS92\Behavior\12-Sep-2023,2,9,"[2, 3, 4]","[0, 8, 9]",2.74,3,11,"[3, 4, 5]","[1, 10, 10]",3.38,3,12,"[2, 3, 4]","[0, 1, 9]",3.5,3,1,,,
C:\data\ICMS92\Behavior\12-Sep-2023,3,9,"[2, 3, 4]","[0, 5, 10]",3.0,3,11,"[3, 4, 5]","[2, 10, 9]",3.29,3,12,"[2, 3, 4]","[0, 4, 10]",3.09,3,1,,,
C:\data\ICMS92\Behavior\12-Sep-2023,4,9,"[2, 3, 4]","[1, 2, 10]",3.21,3,11,"[3, 4, 5]","[1, 10, 10]",3.38,3,12,"[2, 3, 4]","[0, 1, 8]",3.61,4,1,,,
